program,year,period,geo_level,state,state_ansi,commodity,data_item,domain,domain_category,value
CENSUS,2007,YEAR,STATE,MISSOURI,29,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,44864
CENSUS,2007,YEAR,STATE,MONTANA,30,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,12102
CENSUS,2007,YEAR,STATE,NEBRASKA,31,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,31099
CENSUS,2007,YEAR,STATE,NEVADA,32,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1051
CENSUS,2007,YEAR,STATE,NEW HAMPSHIRE,33,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2259
CENSUS,2007,YEAR,STATE,NEW JERSEY,34,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6505
CENSUS,2007,YEAR,STATE,NEW MEXICO,35,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,7441
CENSUS,2007,YEAR,STATE,NEW YORK,36,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,20009
CENSUS,2007,YEAR,STATE,NORTH CAROLINA,37,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,23575
CENSUS,2007,YEAR,STATE,NORTH DAKOTA,38,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,18127
CENSUS,2007,YEAR,STATE,OHIO,39,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,45060
CENSUS,2007,YEAR,STATE,OKLAHOMA,40,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,26515
CENSUS,2007,YEAR,STATE,OREGON,41,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,16488
CENSUS,2007,YEAR,STATE,PENNSYLVANIA,42,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,33119
CENSUS,2007,YEAR,STATE,RHODE ISLAND,44,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,705
CENSUS,2007,YEAR,STATE,SOUTH CAROLINA,45,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8781
CENSUS,2007,YEAR,STATE,SOUTH DAKOTA,46,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,18146
CENSUS,2007,YEAR,STATE,TENNESSEE,47,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,23108
CENSUS,2007,YEAR,STATE,TEXAS,48,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,67997
CENSUS,2007,YEAR,STATE,UTAH,49,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6974
CENSUS,2007,YEAR,STATE,VERMONT,50,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4027
CENSUS,2007,YEAR,STATE,VIRGINIA,51,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,16493
CENSUS,2007,YEAR,STATE,WASHINGTON,53,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,16374
CENSUS,2007,YEAR,STATE,WEST VIRGINIA,54,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,9086
CENSUS,2007,YEAR,STATE,WISCONSIN,55,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,43189
CENSUS,2007,YEAR,STATE,WYOMING,56,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3622
CENSUS,2002,YEAR,STATE,ALABAMA,1,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,11059
CENSUS,2002,YEAR,STATE,ALASKA,2,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,337
CENSUS,2002,YEAR,STATE,ARIZONA,4,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2576
CENSUS,2002,YEAR,STATE,ARKANSAS,5,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,12995
CENSUS,2002,YEAR,STATE,CALIFORNIA,6,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,48634
CENSUS,2002,YEAR,STATE,COLORADO,8,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10613
CENSUS,2002,YEAR,STATE,CONNECTICUT,9,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2376
CENSUS,2002,YEAR,STATE,DELAWARE,10,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1366
CENSUS,2002,YEAR,STATE,FLORIDA,12,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17327
CENSUS,2002,YEAR,STATE,GEORGIA,13,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,14837
CENSUS,2002,YEAR,STATE,HAWAII,15,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4317
CENSUS,2002,YEAR,STATE,IDAHO,16,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,9261
CENSUS,2002,YEAR,STATE,ILLINOIS,17,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,50786
CENSUS,2002,YEAR,STATE,INDIANA,18,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,35457
CENSUS,2002,YEAR,STATE,IOWA,19,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,60303
CENSUS,2002,YEAR,STATE,KANSAS,20,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,36152
CENSUS,2002,YEAR,STATE,KENTUCKY,21,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,46370
CENSUS,2002,YEAR,STATE,LOUISIANA,22,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8370
CENSUS,2002,YEAR,STATE,MAINE,23,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3825
CENSUS,2002,YEAR,STATE,MARYLAND,24,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6252
CENSUS,2002,YEAR,STATE,MASSACHUSETTS,25,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3629
CENSUS,2002,YEAR,STATE,MICHIGAN,26,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,29697
CENSUS,2002,YEAR,STATE,MINNESOTA,27,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,45614
CENSUS,2002,YEAR,STATE,MISSISSIPPI,28,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,9724
CENSUS,2002,YEAR,STATE,MISSOURI,29,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,42853
CENSUS,2002,YEAR,STATE,MONTANA,30,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,11439
CENSUS,2002,YEAR,STATE,NEBRASKA,31,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,31493
CENSUS,2002,YEAR,STATE,NEVADA,32,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,968
CENSUS,2002,YEAR,STATE,NEW HAMPSHIRE,33,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1730
CENSUS,2002,YEAR,STATE,NEW JERSEY,34,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6199
CENSUS,2002,YEAR,STATE,NEW MEXICO,35,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4739
CENSUS,2002,YEAR,STATE,NEW YORK,36,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,18743
CENSUS,2002,YEAR,STATE,NORTH CAROLINA,37,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,24587
CENSUS,2002,YEAR,STATE,NORTH DAKOTA,38,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,16938
CENSUS,2002,YEAR,STATE,OHIO,39,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,45454
CENSUS,2002,YEAR,STATE,OKLAHOMA,40,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,22786
CENSUS,2002,YEAR,STATE,OREGON,41,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,16853
CENSUS,2002,YEAR,STATE,PENNSYLVANIA,42,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,28094
CENSUS,2002,YEAR,STATE,RHODE ISLAND,44,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,526
CENSUS,2002,YEAR,STATE,SOUTH CAROLINA,45,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,7869
CENSUS,2002,YEAR,STATE,SOUTH DAKOTA,46,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17585
CENSUS,2002,YEAR,STATE,TENNESSEE,47,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,29143
CENSUS,2002,YEAR,STATE,TEXAS,48,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,56090
CENSUS,2002,YEAR,STATE,UTAH,49,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,5088
CENSUS,2002,YEAR,STATE,VERMONT,50,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3521
CENSUS,2002,YEAR,STATE,VIRGINIA,51,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17672
CENSUS,2002,YEAR,STATE,WASHINGTON,53,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17117
CENSUS,2002,YEAR,STATE,WEST VIRGINIA,54,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,5883
CENSUS,2002,YEAR,STATE,WISCONSIN,55,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,36708
CENSUS,2002,YEAR,STATE,WYOMING,56,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2701
CENSUS,1997,YEAR,STATE,ALABAMA,1,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,14113
CENSUS,1997,YEAR,STATE,ALASKA,2,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,319
CENSUS,1997,YEAR,STATE,ARIZONA,4,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2577
CENSUS,1997,YEAR,STATE,ARKANSAS,5,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,15205
CENSUS,1997,YEAR,STATE,CALIFORNIA,6,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,50147
CENSUS,1997,YEAR,STATE,COLORADO,8,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,14122
CENSUS,1997,YEAR,STATE,CONNECTICUT,9,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3045
CENSUS,1997,YEAR,STATE,DELAWARE,10,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1726
CENSUS,1997,YEAR,STATE,FLORIDA,12,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,18713
CENSUS,1997,YEAR,STATE,GEORGIA,13,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17233
CENSUS,1997,YEAR,STATE,HAWAII,15,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4208
CENSUS,1997,YEAR,STATE,IDAHO,16,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,12500
CENSUS,1997,YEAR,STATE,ILLINOIS,17,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,59962
CENSUS,1997,YEAR,STATE,INDIANA,18,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,43338
CENSUS,1997,YEAR,STATE,IOWA,19,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,70557
CENSUS,1997,YEAR,STATE,KANSAS,20,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,43501
CENSUS,1997,YEAR,STATE,KENTUCKY,21,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,61076
CENSUS,1997,YEAR,STATE,LOUISIANA,22,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10450
CENSUS,1997,YEAR,STATE,MAINE,23,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4614
CENSUS,1997,YEAR,STATE,MARYLAND,24,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,7858
CENSUS,1997,YEAR,STATE,MASSACHUSETTS,25,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4921
CENSUS,1997,YEAR,STATE,MICHIGAN,26,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,34893
CENSUS,1997,YEAR,STATE,MINNESOTA,27,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,51587
CENSUS,1997,YEAR,STATE,MISSISSIPPI,28,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10876
CENSUS,1997,YEAR,STATE,MISSOURI,29,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,48321
CENSUS,1997,YEAR,STATE,MONTANA,30,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,14072
CENSUS,1997,YEAR,STATE,NEBRASKA,31,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,38418
CENSUS,1997,YEAR,STATE,NEVADA,32,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1203
CENSUS,1997,YEAR,STATE,NEW HAMPSHIRE,33,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2331
CENSUS,1997,YEAR,STATE,NEW JERSEY,34,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,7275
CENSUS,1997,YEAR,STATE,NEW MEXICO,35,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,5493
CENSUS,1997,YEAR,STATE,NEW YORK,36,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,20131
CENSUS,1997,YEAR,STATE,NORTH CAROLINA,37,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,31472
CENSUS,1997,YEAR,STATE,NORTH DAKOTA,38,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,22752
CENSUS,1997,YEAR,STATE,OHIO,39,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,50738
CENSUS,1997,YEAR,STATE,OKLAHOMA,40,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,27545
CENSUS,1997,YEAR,STATE,OREGON,41,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,18225
CENSUS,1997,YEAR,STATE,PENNSYLVANIA,42,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,34759
CENSUS,1997,YEAR,STATE,RHODE ISLAND,44,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,621
CENSUS,1997,YEAR,STATE,SOUTH CAROLINA,45,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10500
CENSUS,1997,YEAR,STATE,SOUTH DAKOTA,46,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,22243
CENSUS,1997,YEAR,STATE,TENNESSEE,47,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,37048
CENSUS,1997,YEAR,STATE,TEXAS,48,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,62448
CENSUS,1997,YEAR,STATE,UTAH,49,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6826
CENSUS,1997,YEAR,STATE,VERMONT,50,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3869
CENSUS,1997,YEAR,STATE,VIRGINIA,51,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,19798
CENSUS,1997,YEAR,STATE,WASHINGTON,53,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,18710
CENSUS,1997,YEAR,STATE,WEST VIRGINIA,54,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,7572
CENSUS,1997,YEAR,STATE,WISCONSIN,55,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,42491
CENSUS,1997,YEAR,STATE,WYOMING,56,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3557
